"Program_Code","Quality","Sustainability","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Level"
"AC1380",5.35,6.59,"Academic","LA&PS","Economics",56600,"Business Economics","Degree (Major/Minor/Certificate)","BA","Mahmudul Anam","Martin Singer","Bachelor"
"AC1390",5.44,7.81,"Academic","LA&PS","Economics",56600,"Economics","Degree (Major/Minor/Certificate)","BA","Mahmudul Anam","Martin Singer","Bachelor"
"AC1400",5.44,6.59,"Academic","LA&PS","Economics",56600,"Financial & Business Economics","Degree (Major/Minor/Certificate)","BA","Mahmudul Anam","Martin Singer","Bachelor"
"AC1420",4.73,5.31,"Academic","LA&PS","Economics",56600,"Economics","Graduate Degree","MA","Mahmudul Anam","Martin Singer","Master"
"AC1430",4.1,4.69,"Academic","LA&PS","Economics",56600,"Economics","Graduate Degree","PhD","Mahmudul Anam","Martin Singer","PhD"
"AC1440",6.85,5.09,"Academic","LA&PS","English",56650,"Creative Writing","Degree (Major/Minor/Certificate)","BA","Jonathan Warren","Martin Singer","Bachelor"
"AC1450",5.63,4.81,"Academic","LA&PS","English",56650,"English","Degree (Major/Minor/Certificate)","BA","Jonathan Warren","Martin Singer","Bachelor"
"AC1460",6.16,5.01,"Academic","LA&PS","English",56650,"English","Graduate Degree","MA","Jonathan Warren","Martin Singer","Master"
"AC1470",6.34,5.08,"Academic","LA&PS","English",56650,"English","Graduate Degree","PhD","Jonathan Warren","Martin Singer","PhD"
"AC1480",5.18,6.92,"Academic","LA&PS","Equity Studies",56700,"Human Rights & Equity Studies","Degree (Major/Minor/Certificate)","BA","Minoo Derayeh","Martin Singer","Bachelor"
"AC1490",4.99,3.7,"Academic","LA&PS","Equity Studies",56700,"Multicultural and Indigenous Studies","Degree (Major/Minor/Certificate)","BA","Minoo Derayeh","Martin Singer","Bachelor"
"AC1510",5.24,4.4,"Academic","LA&PS","French Studies",56750,"French Studies","Degree (Major/Minor/Certificate)","BA, iBA","Monique Adriaen","Martin Singer","Bachelor"
"AC1540",4.74,4.6,"Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Gender and Women Studies","Degree (Major/Minor/Certificate)","BA","Gertrude Mianda","Martin Singer","Bachelor"
"AC1540",4.73,4.6,"Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Gender and Women Studies","Degree (Major/Minor/Certificate)","BA","Gertrude Mianda","Martin Singer","Bachelor"
"AC1550",4.28,3.85,"Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Sexuality Studies","Degree (Major/Minor/Certificate)","BA, iBA","Gertrude Mianda","Martin Singer","Bachelor"
"AC1560",5.44,4.3,"Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Gender, Feminist & Women's Studies","Graduate Degree","MA","Gertrude Mianda","Martin Singer","Master"
"AC1570",5.44,4.3,"Academic","LA&PS","Gender, Sexuality and Women's Studies",9005,"Gender, Feminist & Women's Studies","Graduate Degree","PhD","Gertrude Mianda","Martin Singer","PhD"
"AC1600",6.16,4.3,"Academic","LA&PS","Geography",56800,"Geography","Degree (Major/Minor/Certificate)","BA, iBA","Steven Tufts","Martin Singer","Bachelor"
"AC1610",4.89,3.7,"Academic","LA&PS","Geography",56800,"Geography and Urban Studies","Degree (Major/Minor/Certificate)","BA","Steven Tufts","Martin Singer","Bachelor"
"AC1620",5.44,5.08,"Academic","LA&PS","Geography",56800,"Geography","Graduate Degree","MA","Steven Tufts","Martin Singer","Master"
"AC1630",5.27,4.83,"Academic","LA&PS","Geography",56800,"Geography","Graduate Degree","MSc","Steven Tufts","Martin Singer","Master"
"AC1640",5.44,5.08,"Academic","LA&PS","Geography",56800,"Geography","Graduate Degree","PhD","Steven Tufts","Martin Singer","PhD"
"AC1660",5.87,3.9,"Academic","LA&PS","History",56850,"History","Degree (Major/Minor/Certificate)","BA, iBA","Marcel Martel","Martin Singer","Bachelor"
"AC1670",5.87,4.6,"Academic","LA&PS","History",56850,"History","Graduate Degree","MA","Marcel Martel","Martin Singer","Master"
"AC1680",5.87,4.32,"Academic","LA&PS","History",56850,"History","Graduate Degree","PhD, (Ancient History with UoT)","Marcel Martel","Martin Singer","PhD"
"AC1700",6.16,7.23,"Academic","LA&PS","Human Resources Mgmt",57150,"Human Resources Management","Degree (Major/Minor/Certificate)","BHRM","Marie-Helene Budworth","Martin Singer","Bachelor"
"AC1710",5.44,6.9,"Academic","LA&PS","Human Resources Mgmt",57150,"Human Resources Management","Graduate Degree","MHRM","Marie-Helene Budworth","Martin Singer","Master"
"AC1720",5.61,4.91,"Academic","LA&PS","Human Resources Mgmt",57150,"Human Resources Management","Graduate Degree","PhD","Marie-Helene Budworth","Martin Singer","PhD"
"AC1740",3.21,3.2,"Academic","LA&PS","Humanities",56900,"Canadian Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer","Bachelor"
"AC1750",6.15,5.11,"Academic","LA&PS","Humanities",56900,"Children's Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer","Bachelor"
"AC1760",3.95,4.37,"Academic","LA&PS","Humanities",56900,"Classical Studies and Classics","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer","Bachelor"
"AC1770",4.45,3.1,"Academic","LA&PS","Humanities",56900,"Culture & Expression","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer","Bachelor"
"AC1780",5.01,4.5,"Academic","LA&PS","Humanities",56900,"East Asian Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer","Bachelor"
"AC1790",4.56,4.11,"Academic","LA&PS","Humanities",56900,"European Studies","Degree (Major/Minor/Certificate)","BA, iBA","Martin Lockshin","Martin Singer","Bachelor"
"AC1800",3.11,2.7,"Academic","LA&PS","Humanities",56900,"Hellenic Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer","Bachelor"
"AC1810",5.37,6.11,"Academic","LA&PS","Humanities",56900,"Humanities","Degree (Major/Minor/Certificate)","BA, iBA","Martin Lockshin","Martin Singer","Bachelor"
"AC1820",3.22,2.7,"Academic","LA&PS","Humanities",56900,"Individualized/Multidisciplinary Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer","Bachelor"
"AC1830",4.81,4.1,"Academic","LA&PS","Humanities",56900,"Jewish Studies","Degree (Major/Minor/Certificate)","BA","Martin Lockshin","Martin Singer","Bachelor"
"AC1850",4.56,3.5,"Academic","LA&PS","Science - STS",56900,"Science and Technology Science","Degree (Major/Minor/Certificate)","BA","Joan Steigerwald","Martin Singer","Bachelor"
"AC1890",5.63,5.32,"Academic","LA&PS","Humanities",56900,"Humanities","Graduate Degree","MA","Martin Lockshin","Martin Singer","Master"
"AC1900",5.87,5.31,"Academic","LA&PS","Humanities",56900,"Humanities","Graduate Degree","PhD","Martin Lockshin","Martin Singer","PhD"
"AC1910",5.18,4.88,"Academic","LA&PS","Humanities",56900,"Interdisciplinary Studies","Graduate Degree","MA","Martin Lockshin","Martin Singer","Master"
"AC1920",4.99,5.01,"Academic","LA&PS","Information Technology",57250,"Information Technology","Degree (Major/Minor/Certificate)","BA, BAS","Jimmy Huang","Martin Singer","Bachelor"
"AC1930",5.01,4.91,"Academic","LA&PS","Information Technology",57250,"Information Systems & Technology","Graduate Degree","MA","Jimmy Huang","Martin Singer","Master"
"AC1950",4.74,4.6,"Academic","LA&PS","Philosophy",57000,"Cognitive Science","Degree (Major/Minor/Certificate)","BA","Robert Myers","Martin Singer","Bachelor"
"AC1950",4.73,4.6,"Academic","LA&PS","Philosophy",57000,"Cognitive Science","Degree (Major/Minor/Certificate)","BA","Robert Myers","Martin Singer","Bachelor"
"AC1960",5.17,5.61,"Academic","LA&PS","Philosophy",57000,"Philosophy","Degree (Major/Minor/Certificate)","BA","Robert Myers","Martin Singer","Bachelor"
"AC1970",5.16,4.59,"Academic","LA&PS","Philosophy",57000,"Philosophy","Graduate Degree","MA","Robert Myers","Martin Singer","Master"
"AC1980",5.37,4.6,"Academic","LA&PS","Philosophy",57000,"Philosophy","Graduate Degree","PhD","Robert Myers","Martin Singer","PhD"
"AC2010",5.07,3.99,"Academic","LA&PS","Political Science",57050,"Global Political Studies","Degree (Major/Minor/Certificate)","BA","Ananya Mukherjee-Reed","Martin Singer","Bachelor"
"AC2020",6.34,3.93,"Academic","LA&PS","Political Science",57050,"Political Science","Degree (Major/Minor/Certificate)","BA, iBA","Ananya Mukherjee-Reed","Martin Singer","Bachelor"
"AC2030",4.57,4.89,"Academic","LA&PS","Political Science",57050,"Political Science","Graduate Degree","MA","Ananya Mukherjee-Reed","Martin Singer","Master"
"AC2040",5,4.11,"Academic","LA&PS","Political Science",57050,"Political Science","Graduate Degree","PhD","Ananya Mukherjee-Reed","Martin Singer","PhD"
"AC2060",4.12,3.9,"Academic","LA&PS","Public Policy & Admin",57300,"Public Administration","Degree (Major/Minor/Certificate)","BPA","James C. Simeon","Martin Singer","Bachelor"
"AC2090",4.74,4.6,"Academic","LA&PS","Public Policy & Admin",57100,"Administrative Studies","Degree (Major/Minor/Certificate)","BAS","Peggy Ng","Martin Singer","Bachelor"
"AC2090",5.44,8.42,"Academic","LA&PS","Public Policy & Admin",57100,"Administrative Studies","Degree (Major/Minor/Certificate)","BAS","Peggy Ng","Martin Singer","Bachelor"
"AC2090",4.73,4.6,"Academic","LA&PS","Public Policy & Admin",57100,"Administrative Studies","Degree (Major/Minor/Certificate)","BAS","Peggy Ng","Martin Singer","Bachelor"
