"Program_Code","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Quality","Sustainability","Level"
"AD1240","Administrative","Fine Arts","FA-Office of the Dean",16900,"Dean’s Office","","","Carol Altilia","Shawn Brixey",7.97,5.86,"Other"
"AD1250","Administrative","Fine Arts","FA-Performance Facilites",53200,"Performance Facilities","","","Carol Altilia","Shawn Brixey",7.3,4.96,"Other"
"AD1260","Administrative","Fine Arts","FA-Winters College",27000,"Winters College","","","Marie Rickard","Shawn Brixey",4.5,4.43,"Other"
"AD1270","Administrative","Glendon","Glendon",224,"Dean’s Office","","","Gilles Fortin","Donald Ipperciel",6.18,5.84,"Other"
"AD1280","Administrative","Glendon","GL-Office of Student Services",27150,"Student Services","","","Rosanna Furgiuele","Donald Ipperciel",4.65,5.01,"Other"
"AD1290","Administrative","Glendon","GL-Athletics Club",27050,"Glendon Athletic Club","","","Rosanna Furgiuele","Donald Ipperciel",2.12,4.65,"Other"
"AD1300","Administrative","Health","HH-Office of the Dean",53850,"Dean’s Office","","","Mary Verrilli","Harvey Skinner",8.38,6.7,"Other"
"AD1310","Administrative","Health","Faculty of Health",226,"York U Psychology Clinic","","","Louise Hartley","Harvey Skinner",6.67,5.66,"Other"
"AD1320","Administrative","Health","Faculty of Health",226,"Calumet College (shared with Schulich)","","","Suzanne Macdonald","Harvey Skinner",7.02,5.45,"Other"
"AD1330","Administrative","Health","Faculty of Health",226,"Stong College (shared with LAPS)","","","Lesley Beagrie","Harvey Skinner",7.02,5.45,"Other"
"AD1340","Administrative","Lassonde","Lassonde School of Engineering",9004,"Dean’s Office","","","Fred Zhu","Janusz Kozinski",7.5,6.16,"Other"
"AD1360","Administrative","LA&PS","Faculty of Liberal Arts & Professional Studies",227,"Dean’s Office","","","Didier Pomerleau","Martin Singer",3.6,4.78,"Other"
"AD1370","Administrative","LA&PS","Faculty of Liberal Arts & Professional Studies",227,"Founders College","","","Mauro Buccheri","Martin Singer",3.56,3.29,"Other"
"AD1380","Administrative","LA&PS","Faculty of Liberal Arts & Professional Studies",227,"McLaughlin College","","","David Leyton-Brown","Martin Singer",5.3,4.6,"Other"
"AD1390","Administrative","LA&PS","Faculty of Liberal Arts & Professional Studies",227,"New College","","","Christian Marjollet","Martin Singer",3.52,3.31,"Other"
"AD1400","Administrative","LA&PS","Faculty of Liberal Arts & Professional Studies",227,"Vanier College","","","Stanley Tweyman","Martin Singer",4.76,3.73,"Other"
"AD1410","Administrative","Osgoode","Osgoode Hall Law School",228,"Dean’s Office","","","Phyllis Lepore Babcock","Lorne Sossin",7.76,6.35,"Other"
"AD1430","Administrative","Osgoode","Osgoode Hall Law School",228,"MDC","","","Phyllis Lepore Babcock","Lorne Sossin",2.66,1.82,"Other"
"AD1440","Administrative","Schulich","Schulich School of Business",229,"Dean’s Office","","","Magda Szaki","Dezso Horvath",7.35,6.32,"Other"
"AD1450","Administrative","Science","SC-Office of the Dean",21200,"Dean’s Office","","","Helen McLellan","Ray Jayawardhana",4.77,5.18,"Other"
"AD1460","Administrative","Science","Faculty of Science",9006,"Observatory","","","Paul Delaney","Ray Jayawardhana",5.33,4.13,"Other"
"AD1470","Administrative","","Libraries",231,"Administration and University Librarian's Office","","","Robert Thompson","Catherine Davidson",5.96,5.55,"Other"
"AD1480","Administrative","","Libraries",231,"Teaching & Learning","","","Adam Taves","Catherine Davidson",6.41,5.87,"Other"
"AD1490","Administrative","","Libraries",231,"Learning Environments/Physical and Virtual","","","John Dupuis","Catherine Davidson",3.32,5.72,"Other"
"AD1500","Administrative","","Libraries",231,"Collections (Physical and Digital)","","","Rob van der Bliek","Catherine Davidson",4.95,5.53,"Other"
"AD1510","Administrative","","Libraries",231,"Research","","","Michael Moir","Catherine Davidson",5.43,4.73,"Other"
"AD1530","Administrative","Science","Faculty of Science",9006,"Bethune College","","","John Amanatides","Ray Jayawardhana",6.53,4.87,"Other"
"AD1540","Administrative","Osgoode","Osgoode Hall Law School",NA,"Law Library","","","Louis Mirando","Lorne Sossin",6.1,4.68,"Other"
"AC0890","Research","Glendon","Glendon",224,"Centre for Research on Language Contact","ORU","","Dominique Scheffel-Dunand","Donald Ipperciel",4.5,4.3,"Other"
"AC1160","Research","Health","Faculty of Health",226,"LaMarsh Centre for Child and Youth Research","ORU","","Yvonne Bohr","Harvey Skinner",6.59,6.61,"Other"
"AC1160","Research","Health","Faculty of Health",226,"LaMarsh Centre for Child and Youth Research","ORU","","Yvonne Bohr","Harvey Skinner",6.59,5.89,"Other"
"AC1170","Research","Health","Faculty of Health",226,"Muscle Health Research Centre","ORU","","David Hood","Harvey Skinner",6.98,5.88,"Other"
"AC2260","Academic","LA&PS","Social Science",57450,"Work & Labour Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",8.61,7.79,"Undergraduate"
"AC2730","Research","Osgoode","Osgoode Hall Law School",228,"The Jack and Mae Nathanson Centre on Transnational Human Rights, Crime and Security","ORU","","Francois Tanguay-Renaud","Lorne Sossin",7.01,7.59,"Other"
"AC3240","Research","Science","Faculty of Science",9006,"Centre for Research on Biomolecular Interactions","ORU","","Sergey Krylov","Ray Jayawardhana",7.29,5.89,"Other"
"AC3250","Research","Science","Faculty of Science",9006,"The Institute for Science and Technology Studies","ORU","","Bernard Lightman","Ray Jayawardhana",5.69,5.5,"Other"
"AC3260","Research","Science","Faculty of Science",9006,"Centre for Atmospheric Chemistry","ORU","","Robert McLaren","Ray Jayawardhana",6.3,5.89,"Other"
"AC3270","Research","Science","Faculty of Science",9006,"Centre for Research in Mass Spectrometry","ORU","","Demian Ifa","Ray Jayawardhana",6.59,5.28,"Other"
"AC3290","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"Centre for Asian Research* Asian Studies","ORU","Graduate Diploma Type 2","Philip Kelly","Robert Hache",6.57,5.68,"Other"
"AC3320","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"Centre for Jewish Studies* Jewish Studies","ORU","Graduate Diploma Type 3","Carl Ehrilich","Robert Hache",5.29,6.39,"Other"
"AC3330","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"CERLAC* Latin American and Caribbean Studies","ORU","Graduate Diploma Type 2","Carlota McAllister","Robert Hache",5.8,5.68,"Other"
"AC3350","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"Centre for Refugee Studies","ORU","Graduate Diploma Type 2","Jennifer Hyndman","Robert Hache",7.89,7.7,"Other"
"AC3390","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"The Harriet Tubman Institute","ORU","","Annie Bunting","Robert Hache",6.09,5.7,"Other"
"AC3400","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"Robarts Centre for Canadian Studies","ORU","","Colin Coates","Robert Hache",5.69,5.8,"Other"
"AC3430","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"York Centre for Vision Research","ORU","","Laurence Harris","Robert Hache",8.89,7.91,"Other"
"AC3450","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"Institute for Social Research","ORU Short Courses (e.g. SPSS/SAS training); Spring Seminar Series on Social Research Methods; Summer Program in Data Analysis","","Les Jacobs","Robert Hache",7.58,8.09,"Other"
"AC3460","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"Institute for Research on Learning Technologies","ORU","","Jennifer Jenson","Robert Hache",6.09,5.3,"Other"
"AC3480","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"The City Institute at York University","ORU","","Linda Peake","Robert Hache",6.3,6.2,"Other"
"AC3490","Research","MISC - VPRI","Office of the VP Res&Innovat'n",43000,"York Institute for Health Research","ORU","","Michaela Hynie","Robert Hache",7.19,7.38,"Other"
