"Program_Code","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Quality","Sustainability","Level"
"AC0730","Academic","Glendon","Philosophy",17600,"Philosophy","Degree (minor/major, certificate)","BA, iBA","Doris Olin","Donald Ipperciel",4.75,4.58,"Undergraduate"
"AC0750","Academic","Glendon","Political Science",17650,"Political science","Degree (minor/major)","BA, iBA","Ian Roberge","Donald Ipperciel",5.18,5.51,"Undergraduate"
"AC0770","Academic","Glendon","Psychology",17700,"Psychology","Degree (minor/major)","BA, iBA","Timothy Moore","Donald Ipperciel",5.74,6.3,"Undergraduate"
"AC0790","Academic","Glendon","Public and International Affairs",9007,"Public and International Affairs","Graduate Degree","MPIA","Michael Barutciski","Donald Ipperciel",5.51,6.3,"Master's"
"AC0810","Academic","Glendon","Sociology",17750,"Sociology","Degree (minor/major)","BA, iBA","Brian Singer","Donald Ipperciel",4.65,4.91,"Undergraduate"
"AC0830","Academic","Glendon","Womens Studies",18000,"Gender and Women Studies","Degree (minor/major, certificate)","BA, iBA","Gertrude Mianda","Donald Ipperciel",3.95,3.88,"Undergraduate"
"AC0850","Academic","Glendon","School of Translation",17800,"Translation Studies","Degree (minor/major, certificate)","BA, iBA","Marie-Christine Aubin","Donald Ipperciel",5.16,4.6,"Undergraduate"
"AC0860","Academic","Glendon","School of Translation",17800,"Translation Studies","Graduate Degree","MA","Marie-Christine Aubin","Donald Ipperciel",4.92,5.07,"Master's"
"AC0870","Academic","Glendon","School of Translation",17800,"Conference Interpreting","Graduate Degree","MCI","Andrew Clifford","Donald Ipperciel",5.87,6.01,"Master's"
"AC0920","Academic","Health","School of Hlth Policy&Mgmt",43200,"Health Studies","Degree (minor/major, certificate)","BHS","Lillie Lum","Harvey Skinner",6.87,8.87,"Undergraduate"
"AC0930","Academic","Health","School of Hlth Policy&Mgmt",43200,"Health","Graduate Degree","MA","Lillie Lum","Harvey Skinner",6.71,7.09,"Master's"
"AC0940","Academic","Health","School of Hlth Policy&Mgmt",43200,"Health","Graduate Degree","PhD","Mary Wiktorowicz","Harvey Skinner",6.5,7.1,"PhD"
"AC0950","Academic","Health","School of Hlth Policy&Mgmt",43200,"Critical Disablity","Graduate Degree","MA","Lillie Lum","Harvey Skinner",6.31,6.78,"Master's"
"AC0960","Academic","Health","School of Hlth Policy&Mgmt",43200,"Critical Disablity","Graduate Degree","PhD","Mary Wiktorowicz","Harvey Skinner",6.5,6.76,"PhD"
"AC0980","Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Degree (minor/major, certificate)","BA","Angelo Belcastro","Harvey Skinner",7.78,8.08,"Undergraduate"
"AC0990","Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Degree (minor/major, certificate)","BSc","Angelo Belcastro","Harvey Skinner",7.78,8.08,"Undergraduate"
"AC1000","Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Graduate Degree","MSc","Angelo Belcastro","Harvey Skinner",6.7,6.53,"Master's"
"AC1010","Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Graduate Degree","MA","Angelo Belcastro","Harvey Skinner",6.71,5.99,"Master's"
"AC1020","Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Graduate Degree","MFSc","Angelo Belcastro","Harvey Skinner",6.71,5.99,"Master's"
"AC1030","Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Graduate Degree","PhD","Angelo Belcastro","Harvey Skinner",6.25,6.19,"PhD"
"AC1050","Academic","Health","School of Nursing",13750,"Nursing","Undergradute Degree","BScN","Claire Mallette","Harvey Skinner",5.2,6.69,"Undergraduate"
"AC1060","Academic","Health","School of Nursing",13750,"Nursing","Undergradute Degree","BScN","Claire Mallette","Harvey Skinner",6.43,7.41,"Undergraduate"
"AC1070","Academic","Health","School of Nursing",13750,"Nursing","Undergradute Degree","BScN","Claire Mallette","Harvey Skinner",6.16,5.43,"Undergraduate"
"AC1080","Academic","Health","School of Nursing",13750,"Nursing","Graduate Degree","MScN","Claire Mallette","Harvey Skinner",4.61,4.62,"Master's"
